obs,F182013_sum,F182013_mean,F152006_sum,F152006_mean,F152004_sum,F152004_mean,F162007_sum,F162007_mean,F152005_sum,F152005_mean,F152002_sum,F152002_mean,F142002_sum,F142002_mean,F182011_sum,F182011_mean,F182012_sum,F182012_mean,F152007_sum,F152007_mean,F162006_sum,F162006_mean,F162009_sum,F162009_mean,F162004_sum,F162004_mean,F142001_sum,F142001_mean,F142000_sum,F142000_mean,F101992_sum,F101992_mean,F182010_sum,F182010_mean,F142003_sum,F142003_mean,F121995_sum,F121995_mean,F152001_sum,F152001_mean,F152003_sum,F152003_mean,F162005_sum,F162005_mean,F152000_sum,F152000_mean,F162008_sum,F162008_mean
5988,27.0,27.0,27.0,27.0,16.0,16.0,28.0,28.0,28.0,28.0,18.0,18.0,25.0,25.0,32.0,32.0,21.0,21.0,22.0,22.0,24.0,24.0,29.0,29.0,29.0,29.0,21.0,21.0,19.0,19.0,17.0,17.0,40.0,40.0,22.0,22.0,26.0,26.0,21.0,21.0,20.0,20.0,21.0,21.0,29.0,29.0,26.0,26.0
5989,11.0,11.0,15.0,15.0,11.0,11.0,12.0,12.0,17.0,17.0,9.0,9.0,13.0,13.0,17.0,17.0,14.0,14.0,13.0,13.0,12.0,12.0,19.0,19.0,19.0,19.0,10.0,10.0,11.0,11.0,9.0,9.0,23.0,23.0,7.0,7.0,12.0,12.0,13.0,13.0,12.0,12.0,9.0,9.0,19.0,19.0,11.0,11.0
5982,15.0,15.0,11.0,11.0,11.0,11.0,15.0,15.0,8.0,8.0,13.0,13.0,8.0,8.0,11.0,11.0,16.0,16.0,12.0,12.0,15.0,15.0,13.0,13.0,8.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,17.0,17.0,11.0,11.0,8.0,8.0,10.0,10.0,8.0,8.0,12.0,12.0,11.0,11.0,18.0,18.0
5983,28.0,28.0,18.0,18.0,18.0,18.0,29.0,29.0,15.0,15.0,23.0,23.0,11.0,11.0,19.0,19.0,27.0,27.0,21.0,21.0,23.0,23.0,23.0,23.0,13.0,13.0,16.0,16.0,18.0,18.0,13.0,13.0,30.0,30.0,17.0,17.0,12.0,12.0,19.0,19.0,15.0,15.0,22.0,22.0,14.0,14.0,29.0,29.0
5980,10.0,10.0,10.0,10.0,7.0,7.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,11.0,8.0,8.0,9.0,9.0,12.0,12.0,11.0,11.0,8.0,8.0,8.0,8.0,9.0,9.0,17.0,17.0,7.0,7.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,13.0,13.0,10.0,10.0
5981,10.0,10.0,9.0,9.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,6.0,9.0,9.0,11.0,11.0,8.0,8.0,12.0,12.0,9.0,9.0,8.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0,13.0,13.0,6.0,6.0,7.0,7.0,9.0,9.0,7.0,7.0,8.0,8.0,9.0,9.0,12.0,12.0
5986,51.0,51.0,45.0,45.0,34.0,34.0,50.0,50.0,41.0,41.0,38.0,38.0,44.0,44.0,55.0,55.0,53.0,53.0,39.0,39.0,47.0,47.0,45.0,45.0,42.0,42.0,38.0,38.0,36.0,36.0,40.0,40.0,53.0,53.0,46.0,46.0,43.0,43.0,44.0,44.0,32.0,32.0,37.0,37.0,46.0,46.0,50.0,50.0
5987,44.0,44.0,42.0,42.0,24.0,24.0,43.0,43.0,38.0,38.0,27.0,27.0,42.0,42.0,47.0,47.0,38.0,38.0,30.0,30.0,38.0,38.0,40.0,40.0,39.0,39.0,28.0,28.0,32.0,32.0,32.0,32.0,52.0,52.0,37.0,37.0,38.0,38.0,33.0,33.0,31.0,31.0,31.0,31.0,38.0,38.0,37.0,37.0
5984,38.0,38.0,29.0,29.0,28.0,28.0,39.0,39.0,24.0,24.0,35.0,35.0,22.0,22.0,33.0,33.0,47.0,47.0,34.0,34.0,33.0,33.0,37.0,37.0,26.0,26.0,31.0,31.0,25.0,25.0,26.0,26.0,41.0,41.0,28.0,28.0,22.0,22.0,33.0,33.0,22.0,22.0,29.0,29.0,31.0,31.0,40.0,40.0
5985,51.0,51.0,42.0,42.0,34.0,34.0,50.0,50.0,35.0,35.0,42.0,42.0,36.0,36.0,46.0,46.0,57.0,57.0,40.0,40.0,47.0,47.0,46.0,46.0,37.0,37.0,36.0,36.0,35.0,35.0,35.0,35.0,51.0,51.0,40.0,40.0,36.0,36.0,44.0,44.0,32.0,32.0,35.0,35.0,41.0,41.0,46.0,46.0
6796,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,12.0,12.0,11.0,11.0,9.0,9.0,9.0,9.0,7.0,7.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,15.0,15.0,6.0,6.0,9.0,9.0,12.0,12.0,9.0,9.0,10.0,10.0,12.0,12.0,8.0,8.0
6797,10.0,10.0,9.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,11.0,11.0,8.0,8.0,8.0,8.0,13.0,13.0,14.0,14.0,12.0,12.0,7.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,11.0,11.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,10.0,10.0,13.0,13.0,8.0,8.0
6794,14.0,14.0,9.0,9.0,10.0,10.0,13.0,13.0,14.0,14.0,14.0,14.0,11.0,11.0,26.0,26.0,13.0,13.0,6.0,6.0,11.0,11.0,14.0,14.0,13.0,13.0,9.0,9.0,8.0,8.0,11.0,11.0,18.0,18.0,12.0,12.0,10.0,10.0,16.0,16.0,11.0,11.0,9.0,9.0,16.0,16.0,12.0,12.0
6795,12.0,12.0,8.0,8.0,9.0,9.0,11.0,11.0,13.0,13.0,11.0,11.0,11.0,11.0,22.0,22.0,10.0,10.0,7.0,7.0,9.0,9.0,10.0,10.0,11.0,11.0,9.0,9.0,8.0,8.0,9.0,9.0,17.0,17.0,9.0,9.0,10.0,10.0,14.0,14.0,10.0,10.0,9.0,9.0,15.0,15.0,10.0,10.0
6792,11.0,11.0,8.0,8.0,7.0,7.0,12.0,12.0,8.0,8.0,16.0,16.0,7.0,7.0,17.0,17.0,13.0,13.0,6.0,6.0,11.0,11.0,13.0,13.0,9.0,9.0,8.0,8.0,6.0,6.0,7.0,7.0,16.0,16.0,10.0,10.0,6.0,6.0,15.0,15.0,8.0,8.0,8.0,8.0,11.0,11.0,13.0,13.0
6793,14.0,14.0,9.0,9.0,9.0,9.0,13.0,13.0,12.0,12.0,18.0,18.0,9.0,9.0,24.0,24.0,14.0,14.0,6.0,6.0,12.0,12.0,15.0,15.0,12.0,12.0,9.0,9.0,7.0,7.0,9.0,9.0,18.0,18.0,11.0,11.0,9.0,9.0,18.0,18.0,9.0,9.0,9.0,9.0,15.0,15.0,14.0,14.0
6790,7.0,7.0,5.0,5.0,5.0,5.0,8.0,8.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,8.0,8.0,5.0,5.0,7.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,11.0,11.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,6.0,6.0,8.0,8.0
6791,8.0,8.0,6.0,6.0,5.0,5.0,10.0,10.0,5.0,5.0,10.0,10.0,5.0,5.0,11.0,11.0,10.0,10.0,5.0,5.0,9.0,9.0,11.0,11.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,14.0,14.0,7.0,7.0,5.0,5.0,11.0,11.0,5.0,5.0,7.0,7.0,9.0,9.0,10.0,10.0
6798,13.0,13.0,11.0,11.0,10.0,10.0,14.0,14.0,9.0,9.0,14.0,14.0,9.0,9.0,7.0,7.0,17.0,17.0,13.0,13.0,15.0,15.0,7.0,7.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,14.0,14.0,13.0,13.0,11.0,11.0,8.0,8.0,11.0,11.0,13.0,13.0,10.0,10.0
6799,15.0,15.0,11.0,11.0,10.0,10.0,14.0,14.0,8.0,8.0,12.0,12.0,10.0,10.0,7.0,7.0,14.0,14.0,13.0,13.0,15.0,15.0,8.0,8.0,11.0,11.0,11.0,11.0,13.0,13.0,11.0,11.0,16.0,16.0,15.0,15.0,14.0,14.0,9.0,9.0,9.0,9.0,11.0,11.0,12.0,12.0,11.0,11.0
6294,9.0,9.0,7.0,7.0,6.0,6.0,10.0,10.0,7.0,7.0,8.0,8.0,7.0,7.0,12.0,12.0,10.0,10.0,7.0,7.0,8.0,8.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,9.0,9.0,12.0,12.0,7.0,7.0,7.0,7.0,9.0,9.0,6.0,6.0,7.0,7.0,9.0,9.0,9.0,9.0
270,55.0,55.0,47.0,47.0,44.0,44.0,56.0,56.0,45.0,45.0,51.0,51.0,47.0,47.0,56.0,56.0,54.0,54.0,46.0,46.0,51.0,51.0,55.0,55.0,47.0,47.0,38.0,38.0,38.0,38.0,20.0,20.0,57.0,57.0,41.0,41.0,36.0,36.0,44.0,44.0,40.0,40.0,45.0,45.0,46.0,46.0,58.0,58.0
271,56.0,56.0,51.0,51.0,45.0,45.0,58.0,58.0,46.0,46.0,54.0,54.0,45.0,45.0,59.0,59.0,57.0,57.0,47.0,47.0,51.0,51.0,55.0,55.0,47.0,47.0,39.0,39.0,38.0,38.0,21.0,21.0,58.0,58.0,42.0,42.0,32.0,32.0,47.0,47.0,41.0,41.0,48.0,48.0,46.0,46.0,59.0,59.0
272,58.0,58.0,52.0,52.0,48.0,48.0,60.0,60.0,48.0,48.0,57.0,57.0,50.0,50.0,59.0,59.0,58.0,58.0,50.0,50.0,52.0,52.0,58.0,58.0,51.0,51.0,45.0,45.0,41.0,41.0,26.0,26.0,59.0,59.0,53.0,53.0,35.0,35.0,52.0,52.0,44.0,44.0,52.0,52.0,51.0,51.0,59.0,59.0
273,60.0,60.0,56.0,56.0,52.0,52.0,61.0,61.0,54.0,54.0,58.0,58.0,52.0,52.0,60.0,60.0,61.0,61.0,51.0,51.0,56.0,56.0,58.0,58.0,55.0,55.0,48.0,48.0,44.0,44.0,30.0,30.0,60.0,60.0,53.0,53.0,38.0,38.0,54.0,54.0,48.0,48.0,55.0,55.0,55.0,55.0,60.0,60.0
274,60.0,60.0,57.0,57.0,52.0,52.0,61.0,61.0,55.0,55.0,56.0,56.0,54.0,54.0,59.0,59.0,59.0,59.0,55.0,55.0,54.0,54.0,59.0,59.0,56.0,56.0,50.0,50.0,48.0,48.0,31.0,31.0,61.0,61.0,54.0,54.0,42.0,42.0,54.0,54.0,48.0,48.0,56.0,56.0,56.0,56.0,57.0,57.0
275,57.0,57.0,54.0,54.0,48.0,48.0,57.0,57.0,52.0,52.0,46.0,46.0,53.0,53.0,53.0,53.0,54.0,54.0,53.0,53.0,50.0,50.0,48.0,48.0,56.0,56.0,39.0,39.0,44.0,44.0,28.0,28.0,60.0,60.0,44.0,44.0,39.0,39.0,47.0,47.0,45.0,45.0,49.0,49.0,52.0,52.0,49.0,49.0
276,45.0,45.0,43.0,43.0,42.0,42.0,42.0,42.0,45.0,45.0,36.0,36.0,45.0,45.0,38.0,38.0,41.0,41.0,43.0,43.0,42.0,42.0,43.0,43.0,48.0,48.0,30.0,30.0,37.0,37.0,16.0,16.0,53.0,53.0,31.0,31.0,33.0,33.0,33.0,33.0,36.0,36.0,37.0,37.0,42.0,42.0,42.0,42.0
277,26.0,26.0,34.0,34.0,25.0,25.0,34.0,34.0,34.0,34.0,22.0,22.0,28.0,28.0,28.0,28.0,24.0,24.0,30.0,30.0,32.0,32.0,29.0,29.0,37.0,37.0,19.0,19.0,23.0,23.0,14.0,14.0,40.0,40.0,23.0,23.0,24.0,24.0,20.0,20.0,24.0,24.0,26.0,26.0,33.0,33.0,32.0,32.0
278,17.0,17.0,24.0,24.0,17.0,17.0,19.0,19.0,23.0,23.0,17.0,17.0,18.0,18.0,16.0,16.0,14.0,14.0,20.0,20.0,25.0,25.0,15.0,15.0,23.0,23.0,16.0,16.0,18.0,18.0,10.0,10.0,29.0,29.0,11.0,11.0,14.0,14.0,14.0,14.0,16.0,16.0,21.0,21.0,19.0,19.0,19.0,19.0
279,13.0,13.0,22.0,22.0,14.0,14.0,18.0,18.0,15.0,15.0,18.0,18.0,13.0,13.0,13.0,13.0,16.0,16.0,19.0,19.0,23.0,23.0,14.0,14.0,16.0,16.0,12.0,12.0,12.0,12.0,10.0,10.0,22.0,22.0,12.0,12.0,9.0,9.0,13.0,13.0,12.0,12.0,21.0,21.0,11.0,11.0,18.0,18.0
9528,50.0,50.0,34.0,34.0,34.0,34.0,44.0,44.0,40.0,40.0,42.0,42.0,37.0,37.0,53.0,53.0,44.0,44.0,29.0,29.0,36.0,36.0,42.0,42.0,42.0,42.0,30.0,30.0,39.0,39.0,37.0,37.0,50.0,50.0,38.0,38.0,41.0,41.0,43.0,43.0,38.0,38.0,33.0,33.0,47.0,47.0,43.0,43.0
9529,40.0,40.0,25.0,25.0,28.0,28.0,33.0,33.0,39.0,39.0,35.0,35.0,36.0,36.0,45.0,45.0,31.0,31.0,23.0,23.0,27.0,27.0,42.0,42.0,38.0,38.0,23.0,23.0,29.0,29.0,23.0,23.0,38.0,38.0,29.0,29.0,36.0,36.0,36.0,36.0,37.0,37.0,22.0,22.0,45.0,45.0,30.0,30.0
9258,15.0,15.0,13.0,13.0,8.0,8.0,15.0,15.0,9.0,9.0,9.0,9.0,16.0,16.0,16.0,16.0,14.0,14.0,9.0,9.0,13.0,13.0,12.0,12.0,16.0,16.0,10.0,10.0,11.0,11.0,9.0,9.0,20.0,20.0,10.0,10.0,16.0,16.0,10.0,10.0,9.0,9.0,8.0,8.0,15.0,15.0,11.0,11.0
9259,9.0,9.0,6.0,6.0,5.0,5.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,11.0,11.0,8.0,8.0,5.0,5.0,6.0,6.0,8.0,8.0,9.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,4.0,4.0,10.0,10.0,6.0,6.0,8.0,8.0,5.0,5.0,8.0,8.0,8.0,8.0
9256,37.0,37.0,25.0,25.0,19.0,19.0,31.0,31.0,20.0,20.0,20.0,20.0,27.0,27.0,25.0,25.0,37.0,37.0,27.0,27.0,31.0,31.0,25.0,25.0,23.0,23.0,21.0,21.0,29.0,29.0,19.0,19.0,37.0,37.0,20.0,20.0,29.0,29.0,20.0,20.0,18.0,18.0,20.0,20.0,26.0,26.0,27.0,27.0
9257,27.0,27.0,18.0,18.0,13.0,13.0,22.0,22.0,14.0,14.0,13.0,13.0,22.0,22.0,21.0,21.0,23.0,23.0,17.0,17.0,19.0,19.0,19.0,19.0,18.0,18.0,16.0,16.0,19.0,19.0,16.0,16.0,28.0,28.0,16.0,16.0,24.0,24.0,15.0,15.0,14.0,14.0,15.0,15.0,21.0,21.0,21.0,21.0
9254,36.0,36.0,25.0,25.0,25.0,25.0,32.0,32.0,19.0,19.0,25.0,25.0,20.0,20.0,22.0,22.0,42.0,42.0,34.0,34.0,33.0,33.0,21.0,21.0,23.0,23.0,26.0,26.0,32.0,32.0,28.0,28.0,42.0,42.0,28.0,28.0,27.0,27.0,19.0,19.0,19.0,19.0,28.0,28.0,26.0,26.0,30.0,30.0
9255,41.0,41.0,26.0,26.0,22.0,22.0,34.0,34.0,20.0,20.0,25.0,25.0,24.0,24.0,21.0,21.0,44.0,44.0,33.0,33.0,36.0,36.0,27.0,27.0,22.0,22.0,26.0,26.0,32.0,32.0,23.0,23.0,40.0,40.0,27.0,27.0,31.0,31.0,23.0,23.0,22.0,22.0,24.0,24.0,29.0,29.0,33.0,33.0
9252,28.0,28.0,20.0,20.0,19.0,19.0,24.0,24.0,16.0,16.0,22.0,22.0,19.0,19.0,18.0,18.0,28.0,28.0,24.0,24.0,26.0,26.0,20.0,20.0,20.0,20.0,22.0,22.0,23.0,23.0,17.0,17.0,32.0,32.0,23.0,23.0,21.0,21.0,19.0,19.0,19.0,19.0,22.0,22.0,21.0,21.0,22.0,22.0
9253,32.0,32.0,24.0,24.0,22.0,22.0,29.0,29.0,17.0,17.0,25.0,25.0,19.0,19.0,19.0,19.0,35.0,35.0,29.0,29.0,28.0,28.0,20.0,20.0,21.0,21.0,25.0,25.0,26.0,26.0,26.0,26.0,37.0,37.0,27.0,27.0,24.0,24.0,20.0,20.0,18.0,18.0,24.0,24.0,22.0,22.0,27.0,27.0
9250,20.0,20.0,17.0,17.0,17.0,17.0,20.0,20.0,13.0,13.0,21.0,21.0,21.0,21.0,15.0,15.0,23.0,23.0,17.0,17.0,19.0,19.0,15.0,15.0,17.0,17.0,17.0,17.0,19.0,19.0,13.0,13.0,23.0,23.0,24.0,24.0,16.0,16.0,21.0,21.0,14.0,14.0,17.0,17.0,22.0,22.0,18.0,18.0
9251,23.0,23.0,17.0,17.0,17.0,17.0,22.0,22.0,16.0,16.0,22.0,22.0,21.0,21.0,18.0,18.0,27.0,27.0,20.0,20.0,22.0,22.0,16.0,16.0,19.0,19.0,19.0,19.0,22.0,22.0,15.0,15.0,28.0,28.0,22.0,22.0,18.0,18.0,19.0,19.0,16.0,16.0,19.0,19.0,22.0,22.0,20.0,20.0
2143,9.0,9.0,6.0,6.0,5.0,5.0,7.0,7.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,9.0,9.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,6.0,6.0
2142,9.0,9.0,5.0,5.0,5.0,5.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,9.0,9.0,8.0,8.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,5.0,5.0,5.0,5.0,6.0,6.0,11.0,11.0,5.0,5.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,8.0,8.0,6.0,6.0
3519,22.0,22.0,15.0,15.0,15.0,15.0,21.0,21.0,13.0,13.0,22.0,22.0,16.0,16.0,16.0,16.0,23.0,23.0,18.0,18.0,19.0,19.0,14.0,14.0,16.0,16.0,18.0,18.0,18.0,18.0,22.0,22.0,25.0,25.0,19.0,19.0,24.0,24.0,18.0,18.0,13.0,13.0,18.0,18.0,22.0,22.0,19.0,19.0
3518,19.0,19.0,14.0,14.0,12.0,12.0,18.0,18.0,11.0,11.0,19.0,19.0,13.0,13.0,12.0,12.0,20.0,20.0,17.0,17.0,16.0,16.0,13.0,13.0,11.0,11.0,16.0,16.0,16.0,16.0,22.0,22.0,23.0,23.0,17.0,17.0,20.0,20.0,17.0,17.0,10.0,10.0,13.0,13.0,16.0,16.0,16.0,16.0
3513,6.0,6.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,6.0,5.0,5.0
3512,6.0,6.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,7.0,7.0,8.0,8.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0
3511,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0
3510,6.0,6.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,6.0,8.0,8.0,5.0,5.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,6.0,6.0,5.0,5.0
3517,14.0,14.0,10.0,10.0,9.0,9.0,14.0,14.0,9.0,9.0,18.0,18.0,10.0,10.0,10.0,10.0,17.0,17.0,14.0,14.0,13.0,13.0,10.0,10.0,10.0,10.0,12.0,12.0,13.0,13.0,18.0,18.0,17.0,17.0,12.0,12.0,12.0,12.0,13.0,13.0,7.0,7.0,11.0,11.0,11.0,11.0,11.0,11.0
3516,12.0,12.0,7.0,7.0,7.0,7.0,10.0,10.0,6.0,6.0,12.0,12.0,6.0,6.0,9.0,9.0,12.0,12.0,9.0,9.0,9.0,9.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,12.0,12.0,11.0,11.0,8.0,8.0,9.0,9.0,10.0,10.0,7.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0
3515,10.0,10.0,5.0,5.0,5.0,5.0,8.0,8.0,5.0,5.0,7.0,7.0,5.0,5.0,6.0,6.0,10.0,10.0,6.0,6.0,7.0,7.0,7.0,7.0,5.0,5.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,6.0,6.0,6.0,6.0,7.0,7.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0
3514,8.0,8.0,5.0,5.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,4.0,4.0,5.0,5.0,8.0,8.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0
2688,6.0,6.0,3.0,3.0,3.0,3.0,6.0,6.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,6.0,6.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0
2689,7.0,7.0,3.0,3.0,3.0,3.0,6.0,6.0,3.0,3.0,5.0,5.0,4.0,4.0,6.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,6.0,6.0,4.0,4.0
2684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2686,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
2687,5.0,5.0,3.0,3.0,2.0,2.0,5.0,5.0,2.0,2.0,4.0,4.0,0.0,0.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,4.0
2680,9.0,9.0,6.0,6.0,6.0,6.0,7.0,7.0,11.0,11.0,11.0,11.0,7.0,7.0,14.0,14.0,7.0,7.0,4.0,4.0,4.0,4.0,8.0,8.0,10.0,10.0,6.0,6.0,5.0,5.0,6.0,6.0,11.0,11.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,13.0,13.0,7.0,7.0
2681,6.0,6.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,8.0,8.0,6.0,6.0,10.0,10.0,6.0,6.0,3.0,3.0,4.0,4.0,5.0,5.0,7.0,7.0,5.0,5.0,4.0,4.0,6.0,6.0,9.0,9.0,4.0,4.0,7.0,7.0,8.0,8.0,7.0,7.0,4.0,4.0,9.0,9.0,5.0,5.0
2682,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,4.0,4.0,7.0,7.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,6.0,6.0,7.0,7.0,3.0,3.0,5.0,5.0,7.0,7.0,4.0,4.0,3.0,3.0,6.0,6.0,4.0,4.0
2683,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,6.0,6.0,0.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,3.0,3.0,5.0,5.0,6.0,6.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0
99,63.0,63.0,61.0,61.0,60.0,60.0,63.0,63.0,59.0,59.0,59.0,59.0,59.0,59.0,62.0,62.0,63.0,63.0,58.0,58.0,62.0,62.0,63.0,63.0,63.0,63.0,60.0,60.0,59.0,59.0,52.0,52.0,61.0,61.0,57.0,57.0,61.0,61.0,60.0,60.0,61.0,61.0,59.0,59.0,62.0,62.0,63.0,63.0
98,63.0,63.0,61.0,61.0,61.0,61.0,63.0,63.0,60.0,60.0,62.0,62.0,60.0,60.0,62.0,62.0,61.0,61.0,58.0,58.0,62.0,62.0,63.0,63.0,63.0,63.0,62.0,62.0,61.0,61.0,51.0,51.0,62.0,62.0,59.0,59.0,62.0,62.0,62.0,62.0,61.0,61.0,60.0,60.0,63.0,63.0,62.0,62.0
91,40.0,40.0,40.0,40.0,32.0,32.0,48.0,48.0,28.0,28.0,40.0,40.0,28.0,28.0,27.0,27.0,43.0,43.0,42.0,42.0,45.0,45.0,39.0,39.0,29.0,29.0,36.0,36.0,26.0,26.0,20.0,20.0,36.0,36.0,40.0,40.0,22.0,22.0,31.0,31.0,28.0,28.0,37.0,37.0,28.0,28.0,45.0,45.0
90,25.0,25.0,28.0,28.0,20.0,20.0,33.0,33.0,16.0,16.0,26.0,26.0,19.0,19.0,18.0,18.0,26.0,26.0,31.0,31.0,34.0,34.0,27.0,27.0,18.0,18.0,20.0,20.0,22.0,22.0,14.0,14.0,25.0,25.0,24.0,24.0,15.0,15.0,21.0,21.0,16.0,16.0,26.0,26.0,18.0,18.0,28.0,28.0
93,53.0,53.0,50.0,50.0,46.0,46.0,54.0,54.0,48.0,48.0,53.0,53.0,49.0,49.0,53.0,53.0,52.0,52.0,45.0,45.0,50.0,50.0,50.0,50.0,50.0,50.0,46.0,46.0,34.0,34.0,25.0,25.0,55.0,55.0,50.0,50.0,33.0,33.0,46.0,46.0,42.0,42.0,48.0,48.0,43.0,43.0,56.0,56.0
92,51.0,51.0,51.0,51.0,43.0,43.0,56.0,56.0,40.0,40.0,50.0,50.0,39.0,39.0,43.0,43.0,52.0,52.0,51.0,51.0,50.0,50.0,44.0,44.0,44.0,44.0,46.0,46.0,35.0,35.0,26.0,26.0,48.0,48.0,48.0,48.0,30.0,30.0,42.0,42.0,37.0,37.0,47.0,47.0,41.0,41.0,55.0,55.0
