obs,F182013_sum,F182013_mean,F152006_sum,F152006_mean,F152004_sum,F152004_mean,F162007_sum,F162007_mean,F152005_sum,F152005_mean,F152002_sum,F152002_mean,F142002_sum,F142002_mean,F182011_sum,F182011_mean,F182012_sum,F182012_mean,F152007_sum,F152007_mean,F162006_sum,F162006_mean,F162009_sum,F162009_mean,F162004_sum,F162004_mean,F142001_sum,F142001_mean,F142000_sum,F142000_mean,F101992_sum,F101992_mean,F182010_sum,F182010_mean,F142003_sum,F142003_mean,F121995_sum,F121995_mean,F152001_sum,F152001_mean,F152003_sum,F152003_mean,F162005_sum,F162005_mean,F152000_sum,F152000_mean,F162008_sum,F162008_mean
6164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10080,15.0,15.0,16.0,16.0,13.0,13.0,15.0,15.0,10.0,10.0,13.0,13.0,13.0,13.0,11.0,11.0,13.0,13.0,18.0,18.0,19.0,19.0,14.0,14.0,13.0,13.0,14.0,14.0,14.0,14.0,11.0,11.0,18.0,18.0,13.0,13.0,11.0,11.0,11.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,14.0,14.0
2213,60.0,60.0,46.0,46.0,52.0,52.0,56.0,56.0,52.0,52.0,55.0,55.0,52.0,52.0,62.0,62.0,56.0,56.0,41.0,41.0,52.0,52.0,57.0,57.0,58.0,58.0,50.0,50.0,48.0,48.0,48.0,48.0,58.0,58.0,55.0,55.0,49.0,49.0,58.0,58.0,53.0,53.0,47.0,47.0,57.0,57.0,59.0,59.0
2212,60.0,60.0,43.0,43.0,51.0,51.0,58.0,58.0,49.0,49.0,56.0,56.0,48.0,48.0,61.0,61.0,57.0,57.0,42.0,42.0,54.0,54.0,56.0,56.0,51.0,51.0,51.0,51.0,41.0,41.0,44.0,44.0,57.0,57.0,55.0,55.0,46.0,46.0,57.0,57.0,48.0,48.0,48.0,48.0,54.0,54.0,58.0,58.0
2211,54.0,54.0,37.0,37.0,46.0,46.0,54.0,54.0,41.0,41.0,54.0,54.0,39.0,39.0,56.0,56.0,55.0,55.0,35.0,35.0,49.0,49.0,51.0,51.0,41.0,41.0,44.0,44.0,35.0,35.0,34.0,34.0,54.0,54.0,50.0,50.0,35.0,35.0,51.0,51.0,41.0,41.0,45.0,45.0,46.0,46.0,54.0,54.0
2210,47.0,47.0,30.0,30.0,35.0,35.0,44.0,44.0,34.0,34.0,43.0,43.0,29.0,29.0,46.0,46.0,44.0,44.0,29.0,29.0,38.0,38.0,44.0,44.0,31.0,31.0,33.0,33.0,27.0,27.0,24.0,24.0,46.0,46.0,37.0,37.0,27.0,27.0,39.0,39.0,29.0,29.0,34.0,34.0,33.0,33.0,41.0,41.0
2217,17.0,17.0,15.0,15.0,16.0,16.0,13.0,13.0,24.0,24.0,16.0,16.0,13.0,13.0,28.0,28.0,9.0,9.0,10.0,10.0,10.0,10.0,18.0,18.0,20.0,20.0,10.0,10.0,14.0,14.0,15.0,15.0,24.0,24.0,6.0,6.0,22.0,22.0,20.0,20.0,17.0,17.0,11.0,11.0,22.0,22.0,15.0,15.0
